sample_id	data_type	size_bytes	data_attributes	browser_attributes
HG00097	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00097/expression.plus.hg38.bw", "name": "HG00097 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00097	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00097/expression.minus.hg38.bw", "name": "HG00097 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00097	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00097/expression.plus.chm13.bw", "name": "HG00097 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00097	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00097/expression.minus.chm13.bw", "name": "HG00097 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00099	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00099/expression.plus.hg38.bw", "name": "HG00099 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00099	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00099/expression.minus.hg38.bw", "name": "HG00099 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00099	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00099/expression.plus.chm13.bw", "name": "HG00099 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00099	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00099/expression.minus.chm13.bw", "name": "HG00099 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00126	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00126/expression.plus.hg38.bw", "name": "HG00126 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00126	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00126/expression.minus.hg38.bw", "name": "HG00126 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00126	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00126/expression.plus.chm13.bw", "name": "HG00126 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00126	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00126/expression.minus.chm13.bw", "name": "HG00126 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00128	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00128/expression.plus.hg38.bw", "name": "HG00128 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
